flare_id,flare_class_GOES,flare_start_UTC,flare_end_UTC,projectids,obs_ids
2203032311,B5.8,2022-03-03 23:05:40.135000+00:00,2022-03-03 23:13:32.136000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1330383936, 1330384008, 1330384080, 1330384152, 1330384224, 1330384296, 1330384368]"
2203032322,B5.7,2022-03-03 23:20:00.137000+00:00,2022-03-03 23:22:56.137000+00:00,"['C001', 'C001', 'C001']","[1330384800, 1330384872, 1330384944]"
2203042309,B8.0,2022-03-04 23:08:20.185000+00:00,2022-03-04 23:21:48.187000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1330470480, 1330470552, 1330470624, 1330470696, 1330470768, 1330470840, 1330470912, 1330470984, 1330471056, 1330471128, 1330471200, 1330471272]"
2203292303,C3.6,2022-03-29 23:00:43.982000+00:00,2022-03-29 23:08:55.983000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1332630048, 1332630120, 1332630192, 1332630264, 1332630336, 1332630408, 1332630480, 1332630552]"
2208260033,C1.8,2022-08-26 00:26:00.184000+00:00,2022-08-26 00:42:00.086000+00:00,"['G0067', 'G0067', 'G0067', 'G0067', 'G0067', 'G0067', 'G0067', 'G0067', 'G0067']","[1345508896, 1345509016, 1345509136, 1345509256, 1345509496, 1345509616, 1345509736, 1345509376, 1345508776]"
2208262328,C1.7,2022-08-26 23:27:40.027000+00:00,2022-08-26 23:30:00.027000+00:00,"['G0067', 'G0067']","[1345591592, 1345591712]"
2208280042,C1.6,2022-08-28 00:41:48.183000+00:00,2022-08-28 00:43:56.183000+00:00,['G0060'],[1345682536]
2208280600,C3.0,2022-08-28 05:59:08.215000+00:00,2022-08-28 06:02:40.216000+00:00,"['G0080', 'G0080']","[1345701336, 1345701632]"
2208280833,C3.8,2022-08-28 08:32:52.231000+00:00,2022-08-28 08:34:24.231000+00:00,"['G0080', 'G0080']","[1345710536, 1345710832]"
2208280859,C3.1,2022-08-28 08:57:48.234000+00:00,2022-08-28 09:03:32.234000+00:00,"['G0080', 'G0080']","[1345712368, 1345712016]"
2209050058,C1.6,2022-09-05 00:56:49.113000+00:00,2022-09-05 01:00:49.113000+00:00,"['G0060', 'G0060']","[1346374648, 1346374680]"
2209052304,C1.8,2022-09-05 23:00:00.945000+00:00,2022-09-05 23:12:12.947000+00:00,"['C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001', 'C001']","[1346454048, 1346454120, 1346454192, 1346454264, 1346454336, 1346454408, 1346454480, 1346454552, 1346454624, 1346454696]"
2209120412,C2.1,2022-09-12 04:00:01.179000+00:00,2022-09-12 04:18:17.181000+00:00,"['G0002', 'G0002', 'G0002', 'G0002']","[1346990392, 1346990688, 1346990984, 1346991280]"
2209130333,C1.9,2022-09-13 03:32:16.026000+00:00,2022-09-13 03:43:36.028000+00:00,"['G0002', 'G0002', 'G0002']","[1347075016, 1347075312, 1347075608]"
